analysis_id,6y56846fbxy2ruc
gene_symbol,Eprs1
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_005_001
pvalue,0.4478438
parameter_name,Creatinine
mouse_strain,C57BL
gene_accession_id,MGI:97838
