mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
pvalue,0.6295834
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
analysis_id,wpq3r3u9h44cy16
gene_symbol,Secisbp2l
parameter_id,MGP_PBI_032_001
