analysis_id,11619kqyw08eq9h
parameter_id,IMPC_IMM_004_001
gene_symbol,Cisd2
mouse_strain,C57BL
gene_accession_id,MGI:1914256
pvalue,0.08390287
parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
