gene_symbol,Usp37
mouse_strain,C57BL
pvalue,1.099909
analysis_id,fy9nwr918v37782
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
