parameter_id,UCDLA_EYE_017_001
pvalue,0.7198988
mouse_life_stage,Early adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_symbol,Frmpd1
analysis_id,9pz412tc4f35539
gene_accession_id,MGI:2446274
