gene_symbol,Rnd3
pvalue,0.8849793
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921444
analysis_id,77gvb46t5e84125
