parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,HRWLLA_CBC_014_001
analysis_id,3n713514495935e
pvalue,0.6439944
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
