analysis_id,fr19o9r12187813
parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.07091451
gene_symbol,Ahcy
gene_accession_id,MGI:87968
