analysis_id,6d3zcj20n5337t3
gene_symbol,Rhbg
pvalue,0.1499149
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
mouse_strain,C57BL
parameter_name,CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_072_001
