parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
pvalue,0.6185196
parameter_id,IMPC_EYE_062_001
analysis_id,67nm875j851cti4
mouse_strain,C57BL
gene_symbol,Ift74
