parameter_name,Center resting time
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.4025158
parameter_id,JAX_OFD_015_001
gene_symbol,Bmi1
analysis_id,jgyk2x903n8003p
