analysis_id,616iibf33868i92
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_name,Thoracic processes
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2138675
parameter_id,IMPC_XRY_064_001
