gene_symbol,Nanp
analysis_id,n3s2o281a4n9s6s
mouse_strain,C57BL
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
pvalue,0.9488329
