parameter_name,B1B Cells
pvalue,0.6724558
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
gene_symbol,Slc28a2
analysis_id,16q8j7rn3de2y3b
