analysis_id,7vno18kc885hayy
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
pvalue,0.3098515
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
mouse_life_stage,E12.5
parameter_name,Periphery - Permanence Time
