analysis_id,d89a1989r4n5v21
gene_symbol,Ubxn11
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
pvalue,0.1742817
parameter_name,Center permanence time
mouse_strain,C57BL
