gene_symbol,Bcs1l
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
pvalue,0.4405275
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
analysis_id,evkw45u0s1853b1
gene_accession_id,MGI:1914071
