parameter_name,B cell number
mouse_strain,C57BL
gene_accession_id,MGI:1914672
pvalue,0.7219692
analysis_id,s64et4fg9wn28dz
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
gene_symbol,Dhdds
