gene_symbol,Kdm4c
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
analysis_id,438878mno28core
mouse_life_stage,Early adult
pvalue,0.7235729
gene_accession_id,MGI:1924054
parameter_name,Lumbar processes
