analysis_id,218epk4m1py8523
parameter_id,JAXLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.3390906
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_strain,C57BL
