parameter_name,Calcium
gene_symbol,Sprr1b
parameter_id,IMPC_CBC_009_001
pvalue,0.2171924
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,i0hf9zim8zbv599
