parameter_name,Sacral processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
analysis_id,1q7e2bzbq69b71m
gene_accession_id,MGI:1914836
pvalue,0.4114899
gene_symbol,Ubxn11
