parameter_name,Mean cell volume
mouse_strain,C57BL
pvalue,0.3211555
mouse_life_stage,E9.5
analysis_id,zznht392i8g6u02
parameter_id,IMPC_HEM_005_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
