gene_symbol,Sdcbp2
pvalue,0.4951508
mouse_strain,C57BL
parameter_name,White blood cell-count
mouse_life_stage,Early adult
analysis_id,h6oe23163a4hsy9
gene_accession_id,MGI:2385156
parameter_id,M-G-P_016_001_001
