analysis_id,83a956a3i259z6p
gene_accession_id,MGI:96646
mouse_strain,C51BL
parameter_name,ST
gene_symbol,Jun
pvalue,0.42983
parameter_id,IMPC_ECG_008_001
mouse_life_stage,E15.5
