gene_symbol,Bmi1
pvalue,0.606921
parameter_name,CV
mouse_strain,C57BL
analysis_id,ys198192hr5zd1m
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
