gene_symbol,Psd4
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.6156353
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
analysis_id,6wchi2h0xp2t88y
