gene_symbol,Duoxa2
analysis_id,34z3f6209fkilw0
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_015_001
gene_accession_id,MGI:1914061
pvalue,0.2323135
