parameter_name,Total food intake
analysis_id,to3j30j0327s745
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1919949
gene_symbol,Lime1
mouse_strain,C57BL
pvalue,0.7294726
mouse_life_stage,Early adult
