analysis_id,62982752s0phg2l
pvalue,0.8571548
parameter_name,Iris/Pupil
gene_symbol,Wars2
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,IMPC_EYE_010_001
