gene_symbol,Slc17a9
pvalue,0.1860029
gene_accession_id,MGI:1919107
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
analysis_id,9z9407l41f7fz81
