parameter_name,Caudal processes
gene_accession_id,MGI:1913396
parameter_id,IMPC_XRY_067_001
analysis_id,9h51xmhuws0v688
gene_symbol,Maco1
pvalue,0.5472711
mouse_strain,C57BL
mouse_life_stage,Early adult
