analysis_id,n7bo363r4tlx3yi
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
pvalue,0.3263621
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
