analysis_id,h9o1o6qm15147tc
pvalue,0.2628495
parameter_name,Right kidney weight
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,E18.5
