parameter_name,White blood cell count
analysis_id,13k99r5104r28w4
parameter_id,HMGULA_HEM_001_001
pvalue,0.6639035
mouse_strain,C57BL
gene_symbol,Dnajc8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
