gene_symbol,Clvs1
analysis_id,5hmitt5o43r04j0
mouse_life_stage,Early adult
pvalue,0.4040872
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1921688
