mouse_life_stage,Early adult
pvalue,0.1615719
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,3904z7n82bw0r32
gene_symbol,Bach2
gene_accession_id,MGI:894679
