analysis_id,4qf3j89p2mii1u0
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
pvalue,0.9428759
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_name,Tibia
mouse_life_stage,Early adult
