analysis_id,8487a0041ccf750
mouse_life_stage,Early adult
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.7596311
