analysis_id,72ik384h1mqa7hc
parameter_id,IMPC_IMM_047_001
pvalue,0.8324453
mouse_life_stage,Early adult
gene_symbol,Sgip1
mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1920344
