analysis_id,5197e46641s8199
gene_symbol,Tox
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
pvalue,0.8232604
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
