parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_symbol,Rufy4
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:3588214
analysis_id,5311u042f38vp31
pvalue,0.4872899
