gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
mouse_strain,C57BL
analysis_id,9kkyy3itq2nj547
gene_accession_id,MGI:1276578
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.9702369
