parameter_name,Eye
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
pvalue,0.8322837
analysis_id,9299076c6h5ox37
gene_symbol,Sema6c
