analysis_id,3gm01vo1b8rz472
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
pvalue,0.111274
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
parameter_name,Narrow eye opening
