parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
gene_symbol,Lamb3
pvalue,0.4216867
mouse_strain,C57BL
analysis_id,715r0181i70u4n7
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
