analysis_id,wa3516q95bi6612
parameter_id,IMPC_HEM_031_001
gene_symbol,Opn3
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
mouse_strain,C57BL
pvalue,0.2760567
parameter_name,Lymphocyte differential count
