analysis_id,xepm68qyv5o8kfl
pvalue,0.3438568
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Ppm1j
