analysis_id,883773492d23g5g
mouse_strain,C57BL
pvalue,0.3743797
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,E18.5
parameter_id,MGP_MLN_076_001
