parameter_name,PQ
parameter_id,IMPC_ECG_005_001
gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_strain,C57BL
pvalue,0.2431737
mouse_life_stage,Early adult
analysis_id,684gce48x8dub3y
