gene_symbol,Kdm4c
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:1924054
parameter_name,Eyelid morphology
pvalue,0.2467938
mouse_life_stage,Early adult
analysis_id,he7e496l6836r0n
mouse_strain,C57BL
