gene_symbol,S100a3
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1338849
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.111822
mouse_life_stage,Early adult
analysis_id,xv8z9011sqyi9sc
