analysis_id,y81q153lxl7z2px
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1922745
pvalue,0.3231067
gene_symbol,Morn5
mouse_strain,C57BL
