gene_symbol,Il1r1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
mouse_strain,C57BL
pvalue,0.7824843
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:96545
analysis_id,4589o10trb2s64u
