analysis_id,s5cdbi01i53215z
mouse_life_stage,Early adult
parameter_name,Coat colouration
mouse_strain,C57BL
gene_symbol,Arpc5l
parameter_id,M-G-P_026_001_004
pvalue,0.1473712
gene_accession_id,MGI:1921442
