analysis_id,d6gxs6nc4bc5350
pvalue,0.7588843
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
