parameter_name,Limb grasping
gene_accession_id,MGI:1918764
analysis_id,2kze48ax9u24s93
parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.9484951
