gene_symbol,Sfpq
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,16q90c78gw02x32
pvalue,0.2372421
parameter_name,Fasted blood glucose concentration
