analysis_id,18v27458auf673y
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
gene_symbol,Gfi1b
pvalue,0.7159338
parameter_name,Shape of ribcage
