analysis_id,0c7pm1u044bu932
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.6564552
parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
