analysis_id,kyfgfoh52466165
mouse_strain,C57BL
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
pvalue,0.6123076
gene_accession_id,MGI:1924054
