gene_symbol,Ola1
parameter_id,TCPLA_CSD_030_001
parameter_name,Tremor
mouse_strain,C57BL
gene_accession_id,MGI:1914309
pvalue,0.3921893
mouse_life_stage,E18.5
analysis_id,6t4v22sqcr3d4un
