analysis_id,46du0x647b2b3s3
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_id,IMPC_IMM_006_001
pvalue,0.6319042
mouse_strain,C57BL
parameter_name,Others
gene_symbol,Mapkap1
