parameter_name,BMC/Body weight
gene_accession_id,MGI:1309468
pvalue,0.6332476
mouse_life_stage,Early adult
gene_symbol,Casq1
analysis_id,9l89p82yuke9hq1
mouse_strain,C57BL
parameter_id,HRWLLA_DXA_007_001
